Date;Experiment;Phase;NH4_avg
2006-07-10;Column 2;2;2291.55
2006-07-17;Column 2;2;1960.56
2006-07-24;Column 2;2;2009.62
2006-07-31;Column 2;2;2164.63
2006-08-07;Column 2;2;1911.27
2006-08-14;Column 2;2;2242.02
2006-08-21;Column 2;2;1939.91
2006-08-28;Column 2;2;2082.39
2006-09-11;Column 2;2;1573.89
2006-09-18;Column 2;2;1626.99
2006-09-25;Column 2;2;1885.84
2006-10-09;Column 2;2;1663.27
2006-10-16;Column 2;2;1837.46
2006-10-23;Column 2;2;1691.15
2006-10-30;Column 2;2;1805.01
2006-11-06;Column 2;2;1775.22
2006-11-13;Column 2;2;1703.32
2006-11-20;Column 2;2;1448.67
2006-11-27;Column 2;2;1804.25
2006-12-04;Column 2;2;1918.58
2006-12-11;Column 2;2;1889.09
2006-12-23;Column 2;2;1707.52
2007-01-03;Column 2;2;1762.83
2007-01-09;Column 2;2;1826.99
2007-01-29;Column 2;2;1940.9
2007-03-14;Column 2;2;2010.26
2007-07-02;Column 2;2;1355.71
2006-03-08;Column 3;2;713.6
2006-03-13;Column 3;2;727.14
2006-03-20;Column 3;2;635.07
2006-03-27;Column 3;2;929.94
2006-04-04;Column 3;2;927.53
2006-04-18;Column 3;2;1030.8
2006-04-24;Column 3;2;1625.83
2006-05-01;Column 3;2;1691.94
2006-05-08;Column 3;2;1719.68
2006-05-16;Column 3;2;1800
2006-06-12;Column 3;2;1670.9
2006-06-19;Column 3;2;1765.16
2006-06-22;Column 3;2;1822.13
2006-06-27;Column 3;2;1896.31
2006-06-29;Column 3;2;1814.34
2006-07-03;Column 3;2;1590.71
2006-07-10;Column 3;2;2141.31
2006-07-17;Column 3;2;2063.85
2006-07-24;Column 3;2;2040.14
2006-07-31;Column 3;2;2136.46
2006-08-07;Column 3;2;2134.27
2006-08-14;Column 3;2;2144.6
2006-08-21;Column 3;2;2085.45
2006-08-28;Column 3;2;2008.45
2006-09-11;Column 3;2;2529.65
2006-09-18;Column 3;2;1638.05
2006-09-25;Column 3;2;1982.01
2006-10-09;Column 3;2;1694.25
2006-10-16;Column 3;2;1763.72
2006-10-23;Column 3;2;1649.12
2006-10-30;Column 3;2;1507.08
2006-11-06;Column 3;2;1485.4
2006-11-13;Column 3;2;1489.82
2006-11-20;Column 3;2;1386.73
2006-11-27;Column 3;2;1116.64
2006-12-04;Column 3;2;1358.11
2006-12-11;Column 3;2;2402.36
2006-12-23;Column 3;2;999.56
2007-01-03;Column 3;2;2192.04
2007-01-09;Column 3;2;1019.47
2007-01-29;Column 3;2;1386.32
2007-03-14;Column 3;2;1391.27
2007-07-02;Column 3;2;1357.99
2006-03-08;Column 4;2;952.77
2006-03-13;Column 4;2;935.84
2006-03-20;Column 4;2;552.74
2006-03-27;Column 4;2;1314.23
2006-04-04;Column 4;2;1294.81
2006-04-18;Column 4;2;1659.49
2006-04-24;Column 4;2;1922.31
2006-05-01;Column 4;2;2050.41
2006-05-08;Column 4;2;2081.12
2006-05-16;Column 4;2;2175.5
2006-06-12;Column 4;2;2019.26
2006-06-19;Column 4;2;2238.52
2006-06-22;Column 4;2;2202.25
2006-06-27;Column 4;2;2023.36
2006-06-29;Column 4;2;2316.39
2006-07-03;Column 4;2;1891.26
2006-07-10;Column 4;2;2561.5
2006-07-17;Column 4;2;2376.06
2006-07-24;Column 4;2;2136.38
2006-07-31;Column 4;2;2483.88
2006-08-07;Column 4;2;2366.67
2006-08-14;Column 4;2;2355.87
2006-08-21;Column 4;2;2329.58
2006-08-28;Column 4;2;2310.09
2006-09-11;Column 4;2;1735.4
2006-09-18;Column 4;2;1823.89
2006-09-25;Column 4;2;2125.07
2006-10-09;Column 4;2;1300.44
2006-10-16;Column 4;2;1964.31
2006-10-23;Column 4;2;1577.21
2006-10-30;Column 4;2;1427.43
2006-11-06;Column 4;2;1391.37
2006-11-13;Column 4;2;1501.99
2006-11-20;Column 4;2;1554.87
2006-11-27;Column 4;2;1509.56
2006-12-04;Column 4;2;1728.32
2006-12-11;Column 4;2;2625.07
2006-12-23;Column 4;2;1990.71
2007-01-03;Column 4;2;1322.57
2007-01-09;Column 4;2;1672.12
2007-01-29;Column 4;2;1742.94
2007-03-14;Column 4;2;1972.05
2007-07-02;Column 4;2;2127.4
2006-03-08;Column 5;2;1305.53
2006-03-13;Column 5;2;1089.23
2006-03-20;Column 5;2;951
2006-03-27;Column 5;2;1317.77
2006-04-04;Column 5;2;1501.6
2006-04-18;Column 5;2;2250.21
2006-04-24;Column 5;2;2178.51
2006-05-01;Column 5;2;2264.26
2006-05-08;Column 5;2;2526.91
2006-05-16;Column 5;2;3141.37
2006-06-12;Column 5;2;2525.41
2006-06-19;Column 5;2;2783.61
2006-06-22;Column 5;2;2593.65
2006-06-27;Column 5;2;2681.15
2006-06-29;Column 5;2;2828.69
2006-07-03;Column 5;2;2329.78
2006-07-10;Column 5;2;2920.66
2006-07-17;Column 5;2;2676.53
2006-07-24;Column 5;2;2690.38
2006-07-31;Column 5;2;2698.28
2006-08-07;Column 5;2;2761.03
2006-08-14;Column 5;2;2719.72
2006-08-21;Column 5;2;2512.68
2006-08-28;Column 5;2;2632.86
2006-09-11;Column 5;2;2067.26
2006-09-18;Column 5;2;1703.32
2006-09-25;Column 5;2;2399.41
2006-10-09;Column 5;2;1424.34
2006-10-16;Column 5;2;2017.4
2006-10-23;Column 5;2;1889.16
2006-10-30;Column 5;2;1805.01
2006-11-06;Column 5;2;1458.85
2006-11-13;Column 5;2;1894.69
2006-11-20;Column 5;2;1430.97
2006-11-27;Column 5;2;1644.96
2006-12-04;Column 5;2;1729.79
2006-12-11;Column 5;2;2925.96
2006-12-23;Column 5;2;1174.34
2007-01-03;Column 5;2;1734.07
2007-01-09;Column 5;2;1616.81
2007-01-29;Column 5;2;1758.95
2007-03-14;Column 5;2;2033.19
2007-07-02;Column 5;2;2106.85
2006-03-08;Column 6;2;2307.03
2006-03-13;Column 6;2;1455.01
2006-03-20;Column 6;2;993.17
2006-03-27;Column 6;2;1320.6
2006-04-04;Column 6;2;1348.52
2006-04-18;Column 6;2;2064.56
2006-04-24;Column 6;2;2004.96
2006-05-01;Column 6;2;2179.55
2006-05-08;Column 6;2;2211.65
2006-05-16;Column 6;2;2494.78
2006-06-12;Column 6;2;2398.36
2006-06-19;Column 6;2;
2006-06-22;Column 6;2;2436.89
2006-06-27;Column 6;2;2677.05
2006-06-29;Column 6;2;2427.05
2006-07-03;Column 6;2;2400.82
2006-07-10;Column 6;2;2962.91
2006-07-17;Column 6;2;2183.57
2006-07-24;Column 6;2;2564.79
2006-07-31;Column 6;2;2638.81
2006-08-07;Column 6;2;2681.22
2006-08-14;Column 6;2;2565.96
2006-08-21;Column 6;2;2709.86
2006-08-28;Column 6;2;2396.95
2006-09-11;Column 6;2;1848.23
2006-09-18;Column 6;2;1405.75
2006-09-25;Column 6;2;2364.01
2006-10-09;Column 6;2;1720.8
2006-10-16;Column 6;2;2890.56
2006-10-23;Column 6;2;1602.65
2006-10-30;Column 6;2;1920.06
2006-11-06;Column 6;2;1327.21
2006-11-13;Column 6;2;1305.09
2006-11-20;Column 6;2;1227.43
2006-11-27;Column 6;2;1335.22
2006-12-04;Column 6;2;1527.73
2006-12-11;Column 6;2;2007.08
2006-12-23;Column 6;2;933.19
2007-01-03;Column 6;2;1041.59
2007-01-09;Column 6;2;1121.24
